date,symbol,event,value
2022-06-17,BANKBARODA,DIVIDENDS,2.85
2024-06-28,BANKBARODA,DIVIDENDS,7.6
2022-08-29,DATAPATTNS,DIVIDENDS,3.5
2022-02-08,GRAVITA,DIVIDENDS,3.0
2023-09-04,GRAVITA,DIVIDENDS,4.35
2024-05-14,GRAVITA,DIVIDENDS,5.2
2022-09-22,HFCL,DIVIDENDS,0.18
2023-09-22,HFCL,DIVIDENDS,0.2
2022-02-10,KPITTECH,DIVIDENDS,1.25
2022-08-12,KPITTECH,DIVIDENDS,1.85
2023-02-10,KPITTECH,DIVIDENDS,1.45
2023-08-14,KPITTECH,DIVIDENDS,2.65
2024-02-09,KPITTECH,DIVIDENDS,2.1
2024-08-09,KPITTECH,DIVIDENDS,4.6
2024-07-19,LLOYDSENGG,DIVIDENDS,0.2
2022-06-22,PNB,DIVIDENDS,0.64
2023-06-23,PNB,DIVIDENDS,0.65
2024-06-21,PNB,DIVIDENDS,1.5
2023-07-28,TATAMOTORS,DIVIDENDS,2.0
2024-06-11,TATAMOTORS,DIVIDENDS,6.0
2022-06-15,TATAPOWER,DIVIDENDS,1.75
2023-06-07,TATAPOWER,DIVIDENDS,2.0
2024-07-04,TATAPOWER,DIVIDENDS,2.0
2022-08-18,TRIDENT,DIVIDENDS,0.36
2023-06-01,TRIDENT,DIVIDENDS,0.36
2024-05-28,TRIDENT,DIVIDENDS,0.36
2022-01-21,WIPRO,DIVIDENDS,1.0
2022-04-05,WIPRO,DIVIDENDS,5.0
2023-01-24,WIPRO,DIVIDENDS,1.0
2024-01-24,WIPRO,DIVIDENDS,1.0
